chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
AMC,2021-02-05,4.0000,put,sell,2021-02-02T16:08:48.745069Z,credit,2.00000,limit,short_put,,0.20000000,2.00000
AMC,2021-02-05,5.0000,put,sell,2021-02-02T16:07:46.344705Z,credit,1.00000,limit,short_put,,0.41000000,1.00000
GME,2021-02-05,20.0000,put,sell,2021-02-02T16:05:00.202129Z,credit,1.00000,limit,short_put,,0.58000000,1.00000
FUBO,2021-02-05,35.0000,put,buy,2021-02-02T16:02:04.046185Z,debit,1.00000,limit,,short_put,0.25000000,1.00000
BB,2021-02-26,7.5000,put,sell,2021-02-01T14:54:59.348277Z,credit,5.00000,limit,short_put,,0.80000000,5.00000
AMC,2021-02-26,4.0000,put,sell,2021-02-01T14:46:27.889319Z,credit,10.00000,limit,short_put,short_put,0.63000000,10.00000
AMC,2021-02-05,2.0000,put,buy,2021-02-01T14:46:27.889319Z,credit,10.00000,limit,short_put,short_put,0.63000000,10.00000
BB,2021-02-26,8.0000,put,sell,2021-02-01T14:41:56.043469Z,credit,5.00000,limit,short_put,,1.00000000,5.00000
QS,2021-02-05,50.0000,call,sell,2021-02-01T14:33:37.933063Z,credit,1.00000,limit,short_call,,1.10000000,1.00000
BB,2021-01-29,14.0000,put,buy,2021-01-29T20:50:56.295042Z,debit,2.00000,limit,,short_put,0.24000000,2.00000
AAL,2021-02-05,22.0000,call,buy,2021-01-29T18:53:52.548000Z,debit,1.00000,limit,,short_call,0.30000000,1.00000
AAL,2021-02-05,22.0000,call,sell,2021-01-29T14:35:23.567423Z,credit,1.00000,limit,short_call,,0.80000000,1.00000
CRSR,2021-02-19,35.0000,put,sell,2021-01-28T16:03:54.528826Z,credit,1.00000,limit,short_put,,4.25000000,1.00000
FUBO,2021-02-05,35.0000,put,sell,2021-01-26T20:23:26.372415Z,credit,1.00000,limit,short_put,,1.40000000,1.00000
FUBO,2021-01-29,30.0000,put,buy,2021-01-26T20:22:23.327915Z,debit,1.00000,limit,,short_put,0.10000000,1.00000
